Spot / Vendor,Type
Bali Ancient Tours - Gianyar Regency,['Tur (1.179)']
Bali Travel Expert - Gianyar Regency,['Tur (1.179)']
Bali Ari Tours & Driver - Gianyar Regency,['Tur (1.179)']
Private Driver in Bali - Gianyar Regency,['Tur (1.179)']
eBikes Bali Electric Bicycle Tours - Gianyar Regency,"['Tur (1.179)', 'Aktivitas Luar Ruangan (695)']"
Bali Semara Tour - Gianyar Regency,['Tur (1.179)']
Amansuka Tour - Tur Harian - Gianyar Regency,"['Tur (1.179)', 'Aktivitas Luar Ruangan (695)', 'Tur dengan Perahu & Olahraga Air (255)']"
Jegeg Bali Cycling -Tur Bersepeda - Gianyar Regency,"['Tur (1.179)', 'Aktivitas Luar Ruangan (695)']"
Aloha Ubud Swing - Gianyar Regency,"['Tur (1.179)', 'Aktivitas Luar Ruangan (695)']"
Celebrity Bike Tours - Gianyar Regency,"['Tur (1.179)', 'Aktivitas Luar Ruangan (695)']"
Bali Driver Guide - Gianyar Regency,"['Tur (1.179)', 'Aktivitas Luar Ruangan (695)']"
Ubud Bali Day Tour - Gianyar Regency,['Tur (1.179)']
Bali SUN Tours - Gianyar Regency,"['Tur (1.179)', 'Aktivitas Luar Ruangan (695)']"
Greenbike Adventure - Gianyar Regency,"['Tur (1.179)', 'Aktivitas Luar Ruangan (695)']"
Bali Traditional Tours - Tur Harian - Gianyar Regency,['Tur (1.179)']
Ubud Area Tours - Gianyar Regency,['Tur (1.179)']
Rinduku Bali Tours - Gianyar Regency,"['Tur (1.179)', 'Aktivitas Luar Ruangan (695)']"
Gusti Badra Bali Private Driver & Tour Organizer - Gianyar Regency,"['Tur (1.179)', 'Aktivitas Luar Ruangan (695)', 'Tur dengan Perahu & Olahraga Air (255)']"
Mr. Bedu's Tours - Gianyar Regency,['Tur (1.179)']
Glamorous Bali Tour - Gianyar Regency,['Tur (1.179)']
Bali Tour Holiday - Gianyar Regency,['Tur (1.179)']
Bali and Tours - Gianyar Regency,"['Tur (1.179)', 'Aktivitas Luar Ruangan (695)', 'Tur dengan Perahu & Olahraga Air (255)']"
Happy Bali Tours - Gianyar Regency,"['Tur (1.179)', 'Aktivitas Luar Ruangan (695)']"
Putu Driver in Bali - Gianyar Regency,['Tur (1.179)']
Sepeda Bali Adventure Cycling and Tours - Gianyar Regency,"['Tur (1.179)', 'Aktivitas Luar Ruangan (695)']"
Jinggo Bali Driver - Gianyar Regency,['Tur (1.179)']
Breathing Cold - Gianyar Regency,"['Aktivitas Luar Ruangan (695)', 'Kursus & Sanggar (166)', 'Bagus Saat Hujan (401)']"
Sindu Bali Driver - Gianyar Regency,['Aktivitas Luar Ruangan (695)']
Ubud Private Driver (Made Ada) - Tur Harian - Gianyar Regency,"['Aktivitas Luar Ruangan (695)', 'Tur dengan Perahu & Olahraga Air (255)', 'Tempat Belanja (240)']"
Bali OM Tours - Gianyar Regency,['Aktivitas Luar Ruangan (695)']
Bali Trekking Tour - Gianyar Regency,"['Aktivitas Luar Ruangan (695)', 'Tur dengan Perahu & Olahraga Air (255)']"
Ubud Bali Made Tour - Gianyar Regency,"['Aktivitas Luar Ruangan (695)', 'Tur dengan Perahu & Olahraga Air (255)']"
Bali Experience Adventure Tour - Gianyar Regency,['Aktivitas Luar Ruangan (695)']
Bali Cheap Car Tours - Tur Harian - Gianyar Regency,['Aktivitas Luar Ruangan (695)']
Wayan Putra Guide Francophone - Gianyar Regency,['Aktivitas Luar Ruangan (695)']
BaliRoadBike - Gianyar Regency,['Aktivitas Luar Ruangan (695)']
JJ Bali - Gianyar Regency,"['Aktivitas Luar Ruangan (695)', 'Tur dengan Perahu & Olahraga Air (255)', 'Tempat Belanja (240)']"
Bali Drive Service - Gianyar Regency,"['Aktivitas Luar Ruangan (695)', 'Tur dengan Perahu & Olahraga Air (255)']"
Bali Sunrise Hike - Gianyar Regency,['Aktivitas Luar Ruangan (695)']
Gooday Bali Driver - Gianyar Regency,"['Aktivitas Luar Ruangan (695)', 'Tur dengan Perahu & Olahraga Air (255)']"
NEWbali - Gianyar Regency,"['Aktivitas Luar Ruangan (695)', 'Tur dengan Perahu & Olahraga Air (255)']"
Tur Bersepeda Halo Bike - Gianyar Regency,['Aktivitas Luar Ruangan (695)']
Tejas Spa Jembawan - Gianyar Regency,['Spa & Kebugaran (325)']
Jembawan Spa - Gianyar Regency,['Spa & Kebugaran (325)']
Ubud Traditional Spa - Gianyar Regency,['Spa & Kebugaran (325)']
Ubud Pilates - Gianyar Regency,['Spa & Kebugaran (325)']
DaLa Spa - Gianyar Regency,['Spa & Kebugaran (325)']
Tejas Spa Arya - Gianyar Regency,['Spa & Kebugaran (325)']
Spa Karsa - Gianyar Regency,['Spa & Kebugaran (325)']
Tempat pengobatan Taksu Healing Haven - Gianyar Regency,['Spa & Kebugaran (325)']
Juwuk Manis Relaxing - Gianyar Regency,['Spa & Kebugaran (325)']
Putri Bali Spa - Gianyar Regency,['Spa & Kebugaran (325)']
Jaens Spa Shanti - Gianyar Regency,['Spa & Kebugaran (325)']
Putri Ubud Spa 2 - Gianyar Regency,['Spa & Kebugaran (325)']
Tamarind Spa at Murni's Houses - Gianyar Regency,['Spa & Kebugaran (325)']
Yeh Pulu Spa - Gianyar Regency,['Spa & Kebugaran (325)']
Kayumanis Spa Ubud - Gianyar Regency,['Spa & Kebugaran (325)']
AmrtaSiddhi Ayurvedic Health Centre - Gianyar Regency,['Spa & Kebugaran (325)']
Blooming Lotus Yoga - Gianyar Regency,['Spa & Kebugaran (325)']
Atria Spa - Gianyar Regency,['Spa & Kebugaran (325)']
Synergy Spa - Gianyar Regency,['Spa & Kebugaran (325)']
Sri Ratih Spa - Gianyar Regency,['Spa & Kebugaran (325)']
Kaveri Spa at The Udaya - Gianyar Regency,['Spa & Kebugaran (325)']
Budaya Spa Bali - Gianyar Regency,['Spa & Kebugaran (325)']
Jaens Spa Ubud - Gianyar Regency,['Spa & Kebugaran (325)']
Rumah Ubud Yoga - Gianyar Regency,['Spa & Kebugaran (325)']
Tai Ji Wellness Centre - Gianyar Regency,['Spa & Kebugaran (325)']
Bali Fish Spa - Gianyar Regency,['Spa & Kebugaran (325)']
Sang Spa and Yoga - Gianyar Regency,['Spa & Kebugaran (325)']
Taksu Spa - Gianyar Regency,['Spa & Kebugaran (325)']
Pusat Penyembuhan Ubud Bodywork Centre - Gianyar Regency,['Spa & Kebugaran (325)']
ShangriLa Spa - Gianyar Regency,['Spa & Kebugaran (325)']
Bali Surya Transport - Gianyar Regency,['Tur dengan Perahu & Olahraga Air (255)']
Balaji Adventure Bali - Gianyar Regency,['Tur dengan Perahu & Olahraga Air (255)']
Bali Quad Discovery Tours - Gianyar Regency,['Tur dengan Perahu & Olahraga Air (255)']
Bali Hidden Canyon Tour - Gianyar Regency,['Tur dengan Perahu & Olahraga Air (255)']
Bali Swing - Gianyar Regency,['Tur dengan Perahu & Olahraga Air (255)']
Arung Jeram White Water Bali - Gianyar Regency,['Tur dengan Perahu & Olahraga Air (255)']
Bali Hai Bike Tours - Gianyar Regency,['Tur dengan Perahu & Olahraga Air (255)']
Mason Adventures - Gianyar Regency,['Tur dengan Perahu & Olahraga Air (255)']
Bali Sobek (Arung Jeram Sungai Ayung) - Gianyar Regency,['Tur dengan Perahu & Olahraga Air (255)']
Toekad Adventure - Gianyar Regency,"['Tur dengan Perahu & Olahraga Air (255)', 'Wisata Alam & Taman (40)']"
Merteyasa Bali Adventure - Gianyar Regency,['Tur dengan Perahu & Olahraga Air (255)']
Ubud Bali White Water Rafting Adventure - Gianyar Regency,['Tur dengan Perahu & Olahraga Air (255)']
My Bali Journey - Gianyar Regency,['Tur dengan Perahu & Olahraga Air (255)']
Telaga Waja River Rafting - Gianyar Regency,['Tur dengan Perahu & Olahraga Air (255)']
Ayung Bali Rafting - Gianyar Regency,['Tur dengan Perahu & Olahraga Air (255)']
Ubud Bali Driver Private Tour - Gianyar Regency,"['Tur dengan Perahu & Olahraga Air (255)', 'Tempat Belanja (240)']"
Yana Bali Tour - Gianyar Regency,['Tur dengan Perahu & Olahraga Air (255)']
Swasti Bali Tour - Gianyar Regency,['Tur dengan Perahu & Olahraga Air (255)']
Edi Reizen - Nederlands Gids in Bali - Gianyar Regency,['Tur dengan Perahu & Olahraga Air (255)']
Pemuteran Menjangan Bali Transport - Gianyar Regency,['Transportasi (247)']
Namaste Taxi & Tours - Gianyar Regency,['Transportasi (247)']
Putu Rembo - Bali Private Tour Guide & Driver - Gianyar Regency,['Transportasi (247)']
Balicab - Private Day Tours - Gianyar Regency,['Transportasi (247)']
Wayan Windia - Gianyar Regency,['Transportasi (247)']
Balione Vacations - Gianyar Regency,['Transportasi (247)']
Bali Tours Ubud - Gianyar Regency,['Transportasi (247)']
Made Suar - Gianyar Regency,['Transportasi (247)']
Bali Tour Arranger - Tur Harian - Gianyar Regency,['Transportasi (247)']
Ubud Nature Private Driver and Tours - Gianyar Regency,['Transportasi (247)']
Suan Bali Private Driver & Tour Guide - Gianyar Regency,['Transportasi (247)']
Bali day tours Putu - Gianyar Regency,['Transportasi (247)']
Lady Driver Tour Ubud - Gianyar Regency,['Transportasi (247)']
Bali Family Trip - Gianyar Regency,['Transportasi (247)']
On My Way to Bali - Gianyar Regency,['Transportasi (247)']
Subawa Bali Driver - Gianyar Regency,['Transportasi (247)']
Padi Bali Driver - Gianyar Regency,['Transportasi (247)']
Best Ubud Driver - Gianyar Regency,['Transportasi (247)']
Kadek Dwi Obama (Kawan Bali Tour) - Gianyar Regency,['Transportasi (247)']
Bintang Family Team Transport Bali - Gianyar Regency,['Transportasi (247)']
Mr.Jerem Transport - Gianyar Regency,"['Transportasi (247)', 'Makanan & Minuman (108)']"
Ubud Professional Drivers - Gianyar Regency,['Transportasi (247)']
Bali Holiday Trans - Gianyar Regency,['Transportasi (247)']
Agung Bali Travel - Gianyar Regency,['Transportasi (247)']
Gustra Ubud Private Tours - Gianyar Regency,['Transportasi (247)']
Nyoman Kardiana et Eka - Gianyar Regency,['Transportasi (247)']
Wayana Tour - Private Driver - Gianyar Regency,['Transportasi (247)']
Cheeky Monkey Bali Tour - Gianyar Regency,['Transportasi (247)']
Info Ke Bali - Gianyar Regency,['Transportasi (247)']
Hire Bali Best Driver - Gianyar Regency,"['Transportasi (247)', 'Makanan & Minuman (108)', 'Hiburan & Permainan (70)', 'Hiburan malam (21)']"
Above the Clouds Natural Wear - Nyuh Kuning - Gianyar Regency,['Tempat Belanja (240)']
Kupu-Kupu Foundation Shop - Gianyar Regency,['Tempat Belanja (240)']
Toko Perhiasan John Hardy - Gianyar Regency,['Tempat Belanja (240)']
Five Art Studio - Gianyar Regency,"['Tempat Belanja (240)', 'Kursus & Sanggar (166)', 'Hiburan & Permainan (70)', 'Museum (61)']"
Threads of Life - Gianyar Regency,"['Tempat Belanja (240)', 'Museum (61)']"
Batik Ikat - Gianyar Regency,['Tempat Belanja (240)']
Semar Kuning Artist Cooperative - Gianyar Regency,"['Tempat Belanja (240)', 'Museum (61)', 'Cocok untuk Pasangan (544)', 'Harga terjangkau (464)', 'Bagus Saat Hujan (401)', 'Tempat yang Belum Populer (140)', 'Masuk Gratis (99)']"
KOU Cuisine - Gianyar Regency,['Tempat Belanja (240)']
Supermarket Bintang - Gianyar Regency,"['Tempat Belanja (240)', 'Harga terjangkau (464)', 'Bagus Saat Hujan (401)', 'Cocok untuk Anak-Anak (331)', 'Masuk Gratis (99)']"
Bali Tours (Ngurah Alun) - Gianyar Regency,['Tempat Belanja (240)']
Perhiasan dan Artifek Prapen - Gianyar Regency,['Tempat Belanja (240)']
Spirit Bali Tours - Gianyar Regency,['Tempat Belanja (240)']
Curative Concept Store - Gianyar Regency,['Tempat Belanja (240)']
Aiswarya Linen Bali - Gianyar Regency,['Tempat Belanja (240)']
Coco Supermarket Ubud - Gianyar Regency,['Tempat Belanja (240)']
Angelo Store - Gianyar Regency,['Tempat Belanja (240)']
Studio Keramik Sari Api - Gianyar Regency,"['Tempat Belanja (240)', 'Museum (61)', 'Harga terjangkau (464)', 'Bagus Saat Hujan (401)', 'Cocok untuk Anak-Anak (331)']"
Sukawati Art Market - Gianyar Regency,"['Tempat Belanja (240)', 'Cocok untuk Kelompok Besar (301)', 'Masuk Gratis (99)']"
Pasar Malam Jalan Gianyar - Gianyar Regency,"['Tempat Belanja (240)', 'Harga terjangkau (464)', 'Cocok untuk Kelompok Besar (301)', 'Masuk Gratis (99)']"
Ubud Raw Chocolate - Gianyar Regency,['Tempat Belanja (240)']
Pasar Seni Tradisional Ubud - Gianyar Regency,"['Tempat Belanja (240)', 'Cocok untuk Pasangan (544)', 'Harga terjangkau (464)', 'Masuk Gratis (99)']"
Pasar Ubud - Gianyar Regency,"['Tempat Belanja (240)', 'Lokasi bulan madu (248)', 'Masuk Gratis (99)']"
Sunari The Tailor - Gianyar Regency,['Tempat Belanja (240)']
Ubud Holiday Tour - Gianyar Regency,['Tempat Belanja (240)']
Burat Wangi - Gianyar Regency,['Tempat Belanja (240)']
Genta Agrotourism - Gianyar Regency,['Tempat Belanja (240)']
ARTcycle BALI - Gianyar Regency,['Tempat Belanja (240)']
Jeding Bali Cooking Class - Gianyar Regency,"['Kursus & Sanggar (166)', 'Makanan & Minuman (108)']"
Periuk Bali Cooking Class - Gianyar Regency,"['Kursus & Sanggar (166)', 'Makanan & Minuman (108)']"
Ketut's Bali Cooking Class - Gianyar Regency,"['Kursus & Sanggar (166)', 'Makanan & Minuman (108)']"
Bali Manggang Cooking Class - Gianyar Regency,"['Kursus & Sanggar (166)', 'Makanan & Minuman (108)']"
Paon Bali Sekolah Kuliner - Gianyar Regency,"['Kursus & Sanggar (166)', 'Makanan & Minuman (108)']"
I Nyoman Warta Batik Class - Gianyar Regency,['Kursus & Sanggar (166)']
Canting Bali Cooking Class - Gianyar Regency,"['Kursus & Sanggar (166)', 'Makanan & Minuman (108)']"
Chez Monique Smith - Kursus kerajinan perak - Gianyar Regency,['Kursus & Sanggar (166)']
Kursus Memasak Lobong - Gianyar Regency,"['Kursus & Sanggar (166)', 'Makanan & Minuman (108)']"
Tresna Bali Cooking School - Gianyar Regency,"['Kursus & Sanggar (166)', 'Makanan & Minuman (108)']"
Subak Cooking Class - Gianyar Regency,"['Kursus & Sanggar (166)', 'Makanan & Minuman (108)']"
Bale Delod Cooking Class - Gianyar Regency,"['Kursus & Sanggar (166)', 'Makanan & Minuman (108)']"
Deking Batik Class - Gianyar Regency,['Kursus & Sanggar (166)']
Kursus Masak Ubad Ubud Bali - Gianyar Regency,"['Kursus & Sanggar (166)', 'Makanan & Minuman (108)']"
Jambangan Bali Cooking Class - Gianyar Regency,"['Kursus & Sanggar (166)', 'Makanan & Minuman (108)']"
Ubud Botany Interactive - Gianyar Regency,['Kursus & Sanggar (166)']
Balinese Farm Cooking & Organic Farm - Gianyar Regency,"['Kursus & Sanggar (166)', 'Makanan & Minuman (108)']"
Widya's Batik Studio - Gianyar Regency,['Kursus & Sanggar (166)']
KDongDing Local Culinary Journey - Day Class - Gianyar Regency,"['Kursus & Sanggar (166)', 'Makanan & Minuman (108)']"
Cobek Bali Cooking Class - Gianyar Regency,"['Kursus & Sanggar (166)', 'Makanan & Minuman (108)']"
Raw Food Bali Culinary Classes - Gianyar Regency,"['Kursus & Sanggar (166)', 'Makanan & Minuman (108)']"
Museum Kesenian Agung Rai (ARMA) - Gianyar Regency,"['Kursus & Sanggar (166)', 'Museum (61)', 'Konser & Pertunjukan (27)']"
Beras Bali Cooking - Gianyar Regency,"['Kursus & Sanggar (166)', 'Makanan & Minuman (108)']"
WS Art Studio - Gianyar Regency,['Kursus & Sanggar (166)']
Fly High Yoga - Gianyar Regency,['Kursus & Sanggar (166)']
Pondok Pekak Library and Learning Center - Gianyar Regency,"['Kursus & Sanggar (166)', nan]"
Sekolah Kuliner Casa Luna - Gianyar Regency,"['Kursus & Sanggar (166)', 'Makanan & Minuman (108)']"
Umah Padi Bali Cooking Class - Gianyar Regency,['Makanan & Minuman (108)']
Be Bali Day Cooking Class - Gianyar Regency,['Makanan & Minuman (108)']
Cafe Wayan Cooking Class - Gianyar Regency,['Makanan & Minuman (108)']
Ubud Village Plate - Gianyar Regency,['Makanan & Minuman (108)']
Sababay Winery - Gianyar Regency,"['Makanan & Minuman (108)', 'Bagus Saat Hujan (401)', 'Cocok untuk Kelompok Besar (301)']"
Lanang Bali Trip - Gianyar Regency,"['Makanan & Minuman (108)', 'Hiburan & Permainan (70)', 'Hiburan malam (21)']"
The Lesung Bali - Gianyar Regency,['Makanan & Minuman (108)']
Ubud Bali Tours (Inside Tours Bali) - Tur Harian - Gianyar Regency,['Makanan & Minuman (108)']
Teras Sawah Tegalalang - Gianyar Regency,"['Pemandangan & Tengara (84)', 'Cocok untuk Pasangan (544)', 'Harga terjangkau (464)', 'Cocok untuk Anak-Anak (331)', 'Cocok untuk Kelompok Besar (301)', 'Lokasi bulan madu (248)', 'Masuk Gratis (99)']"
Pura Gunung Kawi Sebatu - Gianyar Regency,"['Pemandangan & Tengara (84)', 'Lokasi bulan madu (248)', 'Tempat yang Belum Populer (140)']"
Suarta Bali Tour - Gianyar Regency,['Pemandangan & Tengara (84)']
Ubud Kajeng Rice Fields Walk - Gianyar Regency,"['Pemandangan & Tengara (84)', 'Cocok untuk Pasangan (544)', 'Harga terjangkau (464)', 'Cocok untuk Anak-Anak (331)', 'Lokasi bulan madu (248)', 'Tempat yang Belum Populer (140)', 'Masuk Gratis (99)']"
Gunung Kawi - Gianyar Regency,"['Pemandangan & Tengara (84)', 'Cocok untuk Pasangan (544)', 'Harga terjangkau (464)', 'Cocok untuk Kelompok Besar (301)', 'Lokasi bulan madu (248)', 'Tempat yang Belum Populer (140)']"
Pura Tirta Empul - Gianyar Regency,"['Pemandangan & Tengara (84)', 'Cocok untuk Pasangan (544)', 'Harga terjangkau (464)', 'Cocok untuk Anak-Anak (331)', 'Cocok untuk Kelompok Besar (301)', 'Lokasi bulan madu (248)']"
Bali Pulina - Pariwisata Pertanian - Gianyar Regency,"['Pemandangan & Tengara (84)', 'Cocok untuk Pasangan (544)', 'Harga terjangkau (464)', 'Cocok untuk Anak-Anak (331)', 'Cocok untuk Kelompok Besar (301)', 'Lokasi bulan madu (248)', 'Masuk Gratis (99)']"
Taman Nusa - Gianyar Regency,"['Pemandangan & Tengara (84)', 'Wisata Alam & Taman (40)', 'Lokasi bulan madu (248)', 'Tempat yang Belum Populer (140)']"
Istana Tampak Siring - Gianyar Regency,"['Pemandangan & Tengara (84)', 'Cocok untuk Anak-Anak (331)', 'Cocok untuk Kelompok Besar (301)', 'Lokasi bulan madu (248)']"
Campuhan Ridge Walk - Gianyar Regency,"['Pemandangan & Tengara (84)', 'Cocok untuk Pasangan (544)', 'Harga terjangkau (464)', 'Cocok untuk Anak-Anak (331)', 'Cocok untuk Kelompok Besar (301)', 'Lokasi bulan madu (248)', 'Tempat yang Belum Populer (140)', 'Masuk Gratis (99)']"
Pura Gunung Lebah - Gianyar Regency,"['Pemandangan & Tengara (84)', 'Harga terjangkau (464)', 'Masuk Gratis (99)']"
Pura Saraswati - Gianyar Regency,"['Pemandangan & Tengara (84)', 'Cocok untuk Pasangan (544)', 'Harga terjangkau (464)', 'Cocok untuk Anak-Anak (331)', 'Cocok untuk Kelompok Besar (301)', 'Lokasi bulan madu (248)', 'Masuk Gratis (99)']"
Pura Puseh Batuan - Gianyar Regency,"['Pemandangan & Tengara (84)', 'Cocok untuk Pasangan (544)', 'Harga terjangkau (464)', 'Cocok untuk Anak-Anak (331)', 'Lokasi bulan madu (248)', 'Masuk Gratis (99)']"
Tari Gunung Sari - Gianyar Regency,"['Pemandangan & Tengara (84)', 'Cocok untuk Kelompok Besar (301)', 'Lokasi bulan madu (248)']"
Agrowisata Teba Sari Bali - Gianyar Regency,"['Pemandangan & Tengara (84)', 'Lokasi bulan madu (248)', 'Tempat yang Belum Populer (140)', 'Masuk Gratis (99)']"
Subak Juwuk Manis (Ubud Rice Field) - Gianyar Regency,"['Pemandangan & Tengara (84)', 'Cocok untuk Pasangan (544)', 'Harga terjangkau (464)', 'Cocok untuk Anak-Anak (331)', 'Lokasi bulan madu (248)', 'Tempat yang Belum Populer (140)', 'Masuk Gratis (99)']"
Kebun Kopi Satria - Gianyar Regency,"['Pemandangan & Tengara (84)', 'Cocok untuk Pasangan (544)', 'Harga terjangkau (464)', 'Cocok untuk Kelompok Besar (301)', 'Masuk Gratis (99)']"
Pura Mengening - Gianyar Regency,"['Pemandangan & Tengara (84)', 'Cocok untuk Anak-Anak (331)', 'Masuk Gratis (99)']"
Puri Agung Peliatan - Gianyar Regency,['Pemandangan & Tengara (84)']
Merta Harum Agroo Plantation - Gianyar Regency,"['Pemandangan & Tengara (84)', 'Cocok untuk Pasangan (544)', 'Harga terjangkau (464)', 'Cocok untuk Anak-Anak (331)', 'Lokasi bulan madu (248)', 'Tempat yang Belum Populer (140)', 'Masuk Gratis (99)']"
Pura Dalem Bentuyung - Gianyar Regency,['Pemandangan & Tengara (84)']
Pura Yeh Pulu - Gianyar Regency,"['Pemandangan & Tengara (84)', 'Tempat yang Belum Populer (140)']"
Kebun Kopi Segara Windhu - Gianyar Regency,"['Pemandangan & Tengara (84)', 'Bagus Saat Hujan (401)', 'Masuk Gratis (99)']"
Terrace River Pool Swing - Gianyar Regency,"['Pemandangan & Tengara (84)', 'Hiburan & Permainan (70)', 'Cocok untuk Pasangan (544)', 'Cocok untuk Anak-Anak (331)', 'Cocok untuk Kelompok Besar (301)']"
Manik Abian Bali Agriculture - Gianyar Regency,"['Pemandangan & Tengara (84)', 'Bagus Saat Hujan (401)']"
Alas Harum Agro Tourism - Gianyar Regency,"['Pemandangan & Tengara (84)', 'Cocok untuk Pasangan (544)', 'Cocok untuk Anak-Anak (331)', 'Cocok untuk Kelompok Besar (301)', 'Lokasi bulan madu (248)']"
Pura Samuan Tiga - Gianyar Regency,"['Pemandangan & Tengara (84)', 'Cocok untuk Kelompok Besar (301)']"
Istana Puri Saren - Gianyar Regency,"['Pemandangan & Tengara (84)', 'Cocok untuk Pasangan (544)', 'Harga terjangkau (464)', 'Cocok untuk Anak-Anak (331)', 'Cocok untuk Kelompok Besar (301)', 'Masuk Gratis (99)']"
Uma Pakel Agro Tourism - Gianyar Regency,"['Pemandangan & Tengara (84)', 'Wisata Alam & Taman (40)', 'Cocok untuk Pasangan (544)', 'Harga terjangkau (464)', 'Cocok untuk Anak-Anak (331)', 'Masuk Gratis (99)']"
Kumulilir - Gianyar Regency,['Pemandangan & Tengara (84)']
Ubud Horse Stables - Gianyar Regency,"['Hiburan & Permainan (70)', 'Wisata Alam & Taman (40)', nan]"
Nyoman Suarsa Painting Classes - Gianyar Regency,['Hiburan & Permainan (70)']
Paradiso Ubud - Gianyar Regency,['Hiburan & Permainan (70)']
Luna Retreats - Gianyar Regency,['Hiburan & Permainan (70)']
"Luna Transformative Workshops, Circles and Experiences - Gianyar Regency",['Hiburan & Permainan (70)']
Genuine Bali - Gianyar Regency,['Hiburan & Permainan (70)']
Abhiseva Trans Bali - Gianyar Regency,['Hiburan & Permainan (70)']
AEXS Gallery and Painting Classes - Gianyar Regency,['Hiburan & Permainan (70)']
BCAC - Gianyar Regency,['Hiburan & Permainan (70)']
Genuine Bali Tours - Gianyar Regency,['Hiburan & Permainan (70)']
Agung Grazinia Ceramics - Gianyar Regency,['Hiburan & Permainan (70)']
meditation and morning ritual - Gianyar Regency,['Hiburan & Permainan (70)']
Indo Experiences - Gianyar Regency,['Hiburan & Permainan (70)']
Artha Ceramic Studio - Gianyar Regency,['Hiburan & Permainan (70)']
House Of OM - Gianyar Regency,['Hiburan & Permainan (70)']
Samyama Meditation Center - Gianyar Regency,['Hiburan & Permainan (70)']
Explorcation Indonesia - Gianyar Regency,['Hiburan & Permainan (70)']
Bali Purma Art and Workshop - Gianyar Regency,['Hiburan & Permainan (70)']
Jiwamoksa Spa - Gianyar Regency,['Hiburan & Permainan (70)']
Ubud Weight Loss - Gianyar Regency,['Hiburan & Permainan (70)']
Kalilah Sound Healing - Gianyar Regency,['Hiburan & Permainan (70)']
Bali Funworld - Gianyar Regency,['Hiburan & Permainan (70)']
Great Bali Experience - Gianyar Regency,['Hiburan & Permainan (70)']
Batan Ae Fine Art Studio and Classes - Gianyar Regency,['Hiburan & Permainan (70)']
Get Your Bali Tour Service - Gianyar Regency,['Hiburan & Permainan (70)']
Jewelry Making Class at SUNSRI House of Jewelry - Gianyar Regency,['Hiburan & Permainan (70)']
Galeria Wayang dan Topeng Setia Darma - Gianyar Regency,"['Museum (61)', 'Cocok untuk Pasangan (544)', 'Harga terjangkau (464)', 'Bagus Saat Hujan (401)', 'Cocok untuk Anak-Anak (331)', 'Cocok untuk Kelompok Besar (301)', 'Tempat yang Belum Populer (140)', 'Masuk Gratis (99)']"
Neka Art Museum - Gianyar Regency,"['Museum (61)', 'Harga terjangkau (464)', 'Bagus Saat Hujan (401)', 'Lokasi bulan madu (248)']"
Museum The Blanco Renaissance - Gianyar Regency,"['Museum (61)', 'Cocok untuk Pasangan (544)', 'Harga terjangkau (464)', 'Bagus Saat Hujan (401)', 'Lokasi bulan madu (248)']"
Museum Puri Lukisan - Gianyar Regency,"['Museum (61)', 'Cocok untuk Pasangan (544)', 'Harga terjangkau (464)', 'Bagus Saat Hujan (401)']"
Museum Rudana - Gianyar Regency,"['Museum (61)', 'Harga terjangkau (464)', 'Bagus Saat Hujan (401)']"
Wayan Gama Painter Group and School - Gianyar Regency,"['Museum (61)', 'Bagus Saat Hujan (401)', 'Masuk Gratis (99)']"
Bandem Silver - Gianyar Regency,"['Museum (61)', 'Bagus Saat Hujan (401)', 'Tempat yang Belum Populer (140)', 'Masuk Gratis (99)']"
Yana Art Gallery - Gianyar Regency,['Museum (61)']
Horizon Glassworks - Gianyar Regency,"['Museum (61)', 'Bagus Saat Hujan (401)']"
Kuluk Gallery - Gianyar Regency,['Museum (61)']
Gallery Ada Garuda - Gianyar Regency,"['Museum (61)', 'Bagus Saat Hujan (401)', 'Masuk Gratis (99)']"
Titian Art Space - Gianyar Regency,"['Museum (61)', 'Bagus Saat Hujan (401)', 'Tempat yang Belum Populer (140)']"
I.B.Sutarja Mask Gallery - Gianyar Regency,"['Museum (61)', 'Bagus Saat Hujan (401)']"
The Pure Land Gallery - Himalaya Bali - Gianyar Regency,['Museum (61)']
Heyokah Art House - Gianyar Regency,"['Museum (61)', 'Bagus Saat Hujan (401)']"
Studio Lukisan Muji Family - Gianyar Regency,"['Museum (61)', 'Bagus Saat Hujan (401)']"
Symon Gallery Studio - Gianyar Regency,['Museum (61)']
SUNSRI House of Jewelry - Gianyar Regency,['Museum (61)']
Koleksi Tanah Merah - Gianyar Regency,['Museum (61)']
Seni Agung Rai (ARMA) - Gianyar Regency,['Museum (61)']
Werochana Wood Carving - Gianyar Regency,['Museum (61)']
Wayan's Shop - Gianyar Regency,"['Museum (61)', 'Bagus Saat Hujan (401)', 'Masuk Gratis (99)']"
Krisna Yuna Gallery - Gianyar Regency,['Museum (61)']
Njana Tilem Museum - Gianyar Regency,"['Museum (61)', 'Bagus Saat Hujan (401)']"
The Ayuna - Gianyar Regency,['Museum (61)']
Mandala Suci Wenara Wana - Gianyar Regency,"['Wisata Alam & Taman (40)', 'Cocok untuk Pasangan (544)', 'Harga terjangkau (464)', 'Cocok untuk Anak-Anak (331)', 'Cocok untuk Kelompok Besar (301)', 'Lokasi bulan madu (248)', 'Berjiwa petualang (69)']"
Beji Guwang Hidden Canyon - Gianyar Regency,"['Wisata Alam & Taman (40)', 'Tempat yang Belum Populer (140)', 'Cocok untuk Penggemar Aktivitas Ekstrem (114)', 'Berjiwa petualang (69)']"
